EmployeeNumber,EmployeeName,Department,JobRole,Attrition_Prob,Risk,occupation_title,gap_count,skill_gap,recommendation
202,Diego Wilson,Research & Development,Research Scientist,0.134,LOW,Natural Sciences Managers,3,"Critical Thinking, Monitoring, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
204,Kevin Hernandez (204),Sales,Sales Executive,0.179,LOW,Sales Managers,3,"Active Learning, Microsoft Outlook, Speaking",Priority: Microsoft Outlook -> Effective Email & Calendar Management
205,Pooja Rivera,Sales,Sales Representative,0.755,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1,Reading Comprehension,Priority: Reading Comprehension -> Business Writing & Comprehension
206,Ananya Liu,Research & Development,Laboratory Technician,0.352,MEDIUM,Chemical Technicians,1,Monitoring,Priority: Monitoring -> Performance Monitoring & KPIs
207,Priya Siddiqui,Sales,Sales Executive,0.435,MEDIUM,Sales Managers,4,"Microsoft Excel, Monitoring, Reading Comprehension, Speaking",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
208,Park Hernandez,Research & Development,Manufacturing Director,0.016,LOW,Industrial Production Managers,1,Learning Strategies,Priority: Learning Strategies -> Instructional Design Basics
211,Karen Choi,Research & Development,Manufacturing Director,0.136,LOW,Industrial Production Managers,3,"Microsoft Office software, Monitoring, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
214,Elena Green,Research & Development,Research Scientist,0.596,MEDIUM,Natural Sciences Managers,4,"Critical Thinking, Microsoft Excel, Microsoft PowerPoint, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
215,Camila Williams,Sales,Sales Executive,0.413,MEDIUM,Sales Managers,1,Active Listening,Priority: Active Listening -> Active Listening for Managers
216,Omar Liu,Sales,Sales Representative,0.607,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1,Writing,Priority: Writing -> Business Writing Essentials
217,Sarah Rahman,Research & Development,Research Scientist,0.054,LOW,Natural Sciences Managers,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
218,Liu Siddiqui (218),Research & Development,Research Scientist,0.052,LOW,Natural Sciences Managers,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
221,Nguyen Hassan,Research & Development,Research Scientist,0.314,MEDIUM,Natural Sciences Managers,3,"Active Listening, Critical Thinking, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
223,Mark Baker,Research & Development,Healthcare Representative,0.211,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,Speaking,Priority: Speaking -> Public Speaking & Presentation Skills
224,David Walker (224),Research & Development,Research Scientist,0.086,LOW,Natural Sciences Managers,3,"Critical Thinking, Microsoft Excel, Microsoft Office software",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
226,Sergei Ahmed,Research & Development,Manager,0.1,LOW,General and Operations Managers,2,"Critical Thinking, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
227,Ravi Robinson,Research & Development,Research Scientist,0.103,LOW,Natural Sciences Managers,3,"Microsoft Office software, Microsoft PowerPoint, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
228,Amit Nelson,Sales,Sales Executive,0.239,LOW,Sales Managers,2,"Microsoft PowerPoint, Speaking",Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
230,Sandra Petrov,Sales,Sales Executive,0.179,LOW,Sales Managers,5,"Critical Thinking, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
231,Wei Zhang,Research & Development,Research Scientist,0.243,LOW,Natural Sciences Managers,3,"Microsoft Excel, Microsoft PowerPoint, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
233,Sergei Lewis,Research & Development,Research Scientist,0.68,HIGH,Natural Sciences Managers,4,"Active Listening, Microsoft PowerPoint, Monitoring, Reading Comprehension",Priority: Active Listening -> Active Listening for Managers
235,Wei Davis,Sales,Sales Representative,0.952,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,"Critical Thinking, Microsoft Office software, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
238,Margaret Novak (238),Research & Development,Laboratory Technician,0.752,HIGH,Chemical Technicians,3,"Microsoft Outlook, Monitoring, Reading Comprehension",Priority: Reading Comprehension -> Business Writing & Comprehension
239,Chen Kumar,Research & Development,Laboratory Technician,0.142,LOW,Chemical Technicians,4,"Active Listening, Monitoring, Reading Comprehension, Science",Priority: Active Listening -> Active Listening for Managers
240,Pooja Gonzalez,Sales,Sales Executive,0.39,MEDIUM,Sales Managers,2,"Microsoft Excel, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
241,Tariq Patel,Research & Development,Research Scientist,0.057,LOW,Natural Sciences Managers,4,"Critical Thinking, Microsoft Office software, Monitoring, Reading Comprehension",Priority: Critical Thinking -> Structured Problem Solving workshop
242,Hassan Gupta (242),Research & Development,Research Scientist,0.098,LOW,Natural Sciences Managers,4,"Microsoft Office software, Monitoring, Reading Comprehension, Science",Priority: Microsoft Office software -> Microsoft Office Essentials
243,Hassan Rossi (243),Research & Development,Laboratory Technician,0.895,HIGH,Chemical Technicians,3,"Critical Thinking, Monitoring, Science",Priority: Critical Thinking -> Structured Problem Solving workshop
244,Sandra Yang,Sales,Sales Executive,0.11,LOW,Sales Managers,5,"Active Learning, Active Listening, Critical Thinking, Microsoft PowerPoint, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
245,Ling Lopez,Research & Development,Laboratory Technician,0.307,MEDIUM,Chemical Technicians,3,"Active Listening, Monitoring, Writing",Priority: Active Listening -> Active Listening for Managers
246,Chen Ivanova,Research & Development,Research Scientist,0.597,MEDIUM,Natural Sciences Managers,4,"Microsoft PowerPoint, Monitoring, Science, Writing",Priority: Monitoring -> Performance Monitoring & KPIs
247,Tariq Robinson,Research & Development,Research Scientist,0.113,LOW,Natural Sciences Managers,2,"Microsoft Excel, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
248,Noor Dubois,Sales,Sales Representative,0.906,HIGH,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,"Active Listening, Critical Thinking",Priority: Critical Thinking -> Structured Problem Solving workshop
249,Daniel Gupta (249),Research & Development,Laboratory Technician,0.19,LOW,Chemical Technicians,1,Microsoft Excel,Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
250,Karen Gupta,Research & Development,Manufacturing Director,0.021,LOW,Industrial Production Managers,4,"Active Listening, Critical Thinking, Microsoft Excel, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
252,Charles Singh,Research & Development,Research Scientist,0.018,LOW,Natural Sciences Managers,2,"Reading Comprehension, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
253,Timothy Kumar,Research & Development,Manager,0.07,LOW,General and Operations Managers,4,"Active Listening, Critical Thinking, Microsoft Excel, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
254,Tariq Brown,Research & Development,Research Director,0.015,LOW,Natural Sciences Managers,3,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
256,Ravi Hernandez,Research & Development,Manufacturing Director,0.057,LOW,Industrial Production Managers,2,"Active Listening, Microsoft PowerPoint",Priority: Active Listening -> Active Listening for Managers
258,Daniel Gupta (258),Research & Development,Healthcare Representative,0.041,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Active Learning, Microsoft Outlook, Reading Comprehension, Speaking",Priority: Reading Comprehension -> Business Writing & Comprehension
259,Betty Rodriguez,Research & Development,Manager,0.018,LOW,General and Operations Managers,2,"Microsoft Excel, Microsoft PowerPoint",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
260,Daniel Roberts,Research & Development,Research Scientist,0.09,LOW,Natural Sciences Managers,1,Reading Comprehension,Priority: Reading Comprehension -> Business Writing & Comprehension
261,Zara Thomas,Research & Development,Manufacturing Director,0.726,HIGH,Industrial Production Managers,4,"Active Listening, Learning Strategies, Microsoft PowerPoint, Speaking",Priority: Active Listening -> Active Listening for Managers
262,Sandra Robinson,Research & Development,Research Scientist,0.002,LOW,Natural Sciences Managers,1,Science,Priority: Science -> Domain Science Fundamentals (role-specific)
264,Hassan Scott,Research & Development,Manager,0.194,LOW,General and Operations Managers,3,"Active Listening, Microsoft PowerPoint, Monitoring",Priority: Active Listening -> Active Listening for Managers
267,Zara Clark,Research & Development,Research Scientist,0.646,HIGH,Natural Sciences Managers,2,"Critical Thinking, Microsoft Excel",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
269,Arjun Campbell,Research & Development,Laboratory Technician,0.865,HIGH,Chemical Technicians,3,"Monitoring, Science, Writing",Priority: Monitoring -> Performance Monitoring & KPIs
270,Park Rahman,Research & Development,Manufacturing Director,0.011,LOW,Industrial Production Managers,3,"Critical Thinking, Microsoft Outlook, Speaking",Priority: Critical Thinking -> Structured Problem Solving workshop
271,Fatima Ramirez,Research & Development,Manufacturing Director,0.157,LOW,Industrial Production Managers,2,"Microsoft Office software, Speaking",Priority: Microsoft Office software -> Microsoft Office Essentials
273,Sanjay Nair (273),Research & Development,Manufacturing Director,0.129,LOW,Industrial Production Managers,4,"Microsoft Excel, Microsoft Office software, Monitoring, Reading Comprehension",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
274,Jennifer Campbell,Research & Development,Manufacturing Director,0.848,HIGH,Industrial Production Managers,1,Microsoft PowerPoint,Priority: Microsoft PowerPoint -> Presentation Design Fundamentals
275,Kim Wang,Research & Development,Manufacturing Director,0.027,LOW,Industrial Production Managers,1,Active Listening,Priority: Active Listening -> Active Listening for Managers
277,Mark Ibrahim,Research & Development,Research Scientist,0.317,MEDIUM,Natural Sciences Managers,3,"Active Listening, Microsoft PowerPoint, Monitoring",Priority: Active Listening -> Active Listening for Managers
281,Deborah Lopez,Research & Development,Laboratory Technician,0.727,HIGH,Chemical Technicians,3,"Microsoft Excel, Reading Comprehension, Science",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
282,Emily Campbell,Research & Development,Healthcare Representative,0.834,HIGH,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,"Microsoft Office software, Microsoft Outlook, Reading Comprehension",Priority: Microsoft Office software -> Microsoft Office Essentials
283,Diego Gupta,Sales,Sales Executive,0.245,LOW,Sales Managers,2,"Microsoft Office software, Monitoring",Priority: Microsoft Office software -> Microsoft Office Essentials
284,Steven Choi,Research & Development,Research Scientist,0.395,MEDIUM,Natural Sciences Managers,2,"Microsoft Excel, Writing",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
286,Layla Iyer,Research & Development,Laboratory Technician,0.639,HIGH,Chemical Technicians,3,"Critical Thinking, Microsoft Outlook, Writing",Priority: Critical Thinking -> Structured Problem Solving workshop
287,Kevin Choi,Research & Development,Healthcare Representative,0.041,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Active Learning, Salesforce software",Priority: Active Learning -> Learning How to Learn
288,Sarah Chen,Research & Development,Healthcare Representative,0.036,LOW,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2,"Reading Comprehension, Writing",Priority: Reading Comprehension -> Business Writing & Comprehension
291,Mateo Young,Sales,Sales Executive,0.477,MEDIUM,Sales Managers,4,"Active Listening, Microsoft Excel, Microsoft Office software, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
292,Anthony Allen (292),Research & Development,Manufacturing Director,0.067,LOW,Industrial Production Managers,2,"Critical Thinking, Microsoft Outlook",Priority: Critical Thinking -> Structured Problem Solving workshop
293,Wei Kumar (293),Sales,Sales Executive,0.155,LOW,Sales Managers,2,"Microsoft Excel, Microsoft Outlook",Priority: Microsoft Excel -> Excel for Business Analysis (internal LMS)
